binary,bins,shape,algo,gibps_median,exit_ok,direct_ran,runs
range,262144,powerlaw:0.5,gmem_privatized_cuckoo,357.45,1,1,357.8;357.4;357.5
range,262144,stale_resident,gmem_privatized_cuckoo,334.03,1,1,333.7;334.2;334.0
range,262144,concentrated:0.0,gmem_privatized_single_probe,858.90,1,1,858.7;858.9;859.4
range,262144,hash_synonym,gmem_privatized_single_probe,364.44,1,1,364.8;364.3;364.4
range,262144,powerlaw:0.5,gmem_privatized_single_probe,387.46,1,1,387.5;387.3;387.5
range,262144,stale_resident,gmem_privatized_single_probe,358.66,1,1,358.7;358.2;358.7
range,1048576,concentrated:0.0,default,1899.26,1,1,1899.3;1897.7;1899.3
range,1048576,hash_synonym,default,475.37,1,1,475.5;475.1;475.4
range,1048576,powerlaw:0.5,default,449.43,1,1,449.5;449.4;449.4
range,1048576,stale_resident,default,461.17,1,1,461.2;461.2;460.9
range,1048576,concentrated:0.0,gmem_privatized_nocache,634.37,1,0,634.4;634.5;634.2
range,1048576,hash_synonym,gmem_privatized_nocache,282.03,1,0,281.8;282.6;282.0
range,1048576,powerlaw:0.5,gmem_privatized_nocache,345.89,1,0,346.1;345.9;345.3
range,1048576,stale_resident,gmem_privatized_nocache,385.22,1,0,385.0;385.2;385.4
range,1048576,concentrated:0.0,direct_cuckoo,1897.83,1,1,1897.7;1898.2;1897.8
range,1048576,hash_synonym,direct_cuckoo,475.71,1,1,475.1;475.8;475.7
range,1048576,powerlaw:0.5,direct_cuckoo,449.36,1,1,449.4;449.5;449.2
range,1048576,stale_resident,direct_cuckoo,461.17,1,1,460.9;461.2;461.6
range,1048576,concentrated:0.0,direct_single_probe,1898.76,1,1,1898.8;1898.2;1899.1
range,1048576,hash_synonym,direct_single_probe,475.16,1,1,475.5;475.2;474.8
range,1048576,powerlaw:0.5,direct_single_probe,449.65,1,1,449.1;449.6;449.7
range,1048576,stale_resident,direct_single_probe,461.00,1,1,461.3;460.7;461.0
range,1048576,concentrated:0.0,gmem_privatized_cuckoo,428.11,1,1,428.1;428.4;427.8
range,1048576,hash_synonym,gmem_privatized_cuckoo,243.49,1,1,243.4;243.8;243.5
range,1048576,powerlaw:0.5,gmem_privatized_cuckoo,245.07,1,1,244.9;245.2;245.1
range,1048576,stale_resident,gmem_privatized_cuckoo,241.54,1,1,241.6;241.5;241.5
range,1048576,concentrated:0.0,gmem_privatized_single_probe,429.32,1,1,429.3;429.1;429.4
range,1048576,hash_synonym,gmem_privatized_single_probe,252.24,1,1,252.2;252.3;252.1
range,1048576,powerlaw:0.5,gmem_privatized_single_probe,259.48,1,1,259.4;259.5;259.5
range,1048576,stale_resident,gmem_privatized_single_probe,253.91,1,1,254.0;253.9;253.8
multi_even,65536,concentrated:0.0,default,2229.63,1,1,2229.4;2229.9;2229.6
multi_even,65536,hash_synonym,default,741.20,1,1,741.2;741.2;740.9
multi_even,65536,powerlaw:0.5,default,583.28,1,1,583.3;583.3;583.3
multi_even,65536,stale_resident,default,455.58,1,1,455.8;455.6;455.5
multi_even,65536,concentrated:0.0,gmem_privatized_nocache,1847.68,1,1,1847.6;1848.2;1847.7
multi_even,65536,hash_synonym,gmem_privatized_nocache,512.76,1,1,512.8;512.5;512.8
multi_even,65536,powerlaw:0.5,gmem_privatized_nocache,587.23,1,1,587.2;586.9;587.3
multi_even,65536,stale_resident,gmem_privatized_nocache,422.30,1,1,422.3;422.2;422.5
multi_even,65536,concentrated:0.0,direct_cuckoo,2258.28,1,1,2258.4;2258.0;2258.3
multi_even,65536,hash_synonym,direct_cuckoo,696.03,1,1,696.3;696.0;695.7
multi_even,65536,powerlaw:0.5,direct_cuckoo,543.02,1,1,543.0;543.0;543.2
